"Block","ID","What we are testing","Before you start","What to do","What you should see","Priority","Tester","Date","Result","Notes"
"ROUTING RESOURCES — queues, IVRs, announcements, conditions","T-58","Create a call condition","An application exists.","1. Press Create Call Condition.
2. Set a time range and a destination.
3. Save.","It is listed and can be picked when routing a number.","MEDIUM","","","Not Run",""
"ROUTING RESOURCES — queues, IVRs, announcements, conditions","T-59","Voicemail","A device with voicemail.","1. Call it and leave a message when it goes unanswered.
2. Open the voicemail list.","The message is listed and plays back.","MEDIUM","","","Not Run",""
"PROVIDERS  (`/providers`)","T-60","Add a provider","needs: carrier details.","1. Press Add Provider.
2. Fill in the details and save.","It is listed.","HIGH","","","Not Run",""
"PROVIDERS  (`/providers`)","T-61","Outbound call through the provider","The provider from T-60, a registered device. needs: a number you can call.","1. Point outbound calls at the provider.
2. From the device, dial an outside number.","The far end rings, the call connects with audio, and it appears in Calls as outgoing.","CRITICAL","","","Not Run",""
"PROVIDERS  (`/providers`)","T-62","Inbound from the provider","A number delivered by that provider.","1. Call that number from outside.","The call arrives and follows the routing set for the number.","CRITICAL","","","Not Run",""
"PROVIDERS  (`/providers`)","T-63","Edit a provider","The provider from T-60.","1. Change a setting and save.
2. Reload.","The change is kept and calls still work.","MEDIUM","","","Not Run",""
"PROVIDERS  (`/providers`)","T-64","Delete a provider","A provider not in use.","1. Delete it.","It is gone from the list and from the routing choices.","MEDIUM","","","Not Run",""
"NODES  (`/nodes`)","T-65","Which nodes are connected","You are signed in as root.","1. Open Nodes.","Every node is listed with an up-to-date connected state, and the ones that are actually running show as connected.","CRITICAL","","","Not Run",""
"NODES  (`/nodes`)","T-66","A node that is off shows as off","needs: a node you can stop.","1. Stop the node.
2. Reload Nodes.","It shows as not connected within a few seconds, with a reason.","HIGH","","","Not Run",""
"NODES  (`/nodes`)","T-67","A node's own health","A connected node.","1. Open its health.","Its checks are listed; a node can be connected and still report a failing check.","MEDIUM","","","Not Run",""
"NODES  (`/nodes`)","T-68","A node's logs","A connected node.","1. Press its Logs button.","You see that node's own log lines, not the platform's.","MEDIUM","","","Not Run",""
"NODES  (`/nodes`)","T-69","Add a node","You are root.","1. Add a node and save.","It appears in the list.","MEDIUM","","","Not Run",""
"NODES  (`/nodes`)","T-70","Only root sees Nodes","An account without node rights.","1. Sign in as it.
2. Look for Nodes, then type the address directly.","The screen is neither listed nor reachable.","HIGH","","","Not Run",""
"CALLS  (`/calls`, `/calls-log`)","T-71","Start a call from the screen","A registered device.","1. Start a call to that device from Calls.
2. Answer it.","The device rings, the call connects, and it appears in the live list while it runs.","HIGH","","","Not Run",""
"CALLS  (`/calls`, `/calls-log`)","T-72","A call in progress is shown","A call running.","1. Watch the Calls screen while the call is up.","The call is listed with both parties and a running duration, and disappears when it ends.","HIGH","","","Not Run",""
"CALLS  (`/calls`, `/calls-log`)","T-73","The finished call is in the log","The call from T-71, hung up.","1. Open the call log.","The call is there with the right numbers, direction, start time and duration.","CRITICAL","","","Not Run",""
"CALLS  (`/calls`, `/calls-log`)","T-74","End a call from the screen","A call running.","1. Press hang up on that call.","Both phones drop within a second or two and the call leaves the live list.","HIGH","","","Not Run",""
"CALLS  (`/calls`, `/calls-log`)","T-75","Listen to a recording","A finished call that was recorded.","1. Open it in the call log.
2. Play the recording.","It plays, and it is the right call.","MEDIUM","","","Not Run",""
"CALLS  (`/calls`, `/calls-log`)","T-76","Listen in on a call","A call running. needs: two devices plus your own.","1. Use spy / listen on that call.","You hear both sides; the two parties do not hear you.","MEDIUM","","","Not Run",""
"CALLS  (`/calls`, `/calls-log`)","T-77","Pick up a ringing call","A device ringing.","1. Use pickup from another device.","The ringing call is answered on your device and stops ringing on the first.","MEDIUM","","","Not Run",""
"CALLS  (`/calls`, `/calls-log`)","T-78","Filter and export the log","Several days of calls.","1. Filter by date, direction and number.
2. Export.","The list matches the filter, and the export has the same rows.","MEDIUM","","","Not Run",""
"CALLS  (`/calls`, `/calls-log`)","T-79","An agent sees only their own calls","A user with the portal.","1. Sign in as the user.
2. Open My calls.","They see their own calls, and none of anyone else's.","CRITICAL","","","Not Run",""
"MESSAGES  (`/messages`)","T-80","An incoming message arrives","needs: a messaging channel set up.","1. Send a message to the platform number from outside.","It appears in Messages against the right conversation.","MEDIUM","","","Not Run",""
"MESSAGES  (`/messages`)","T-81","Reply to a message","The conversation from T-80.","1. Reply from the screen.","The reply reaches the sender and is shown in the thread.","MEDIUM","","","Not Run",""
"CAMPAIGNS  (`/campaigns`)","T-82","Create a campaign","A number to call from.","1. Create a campaign and add numbers to call.","It is listed with its numbers.","MEDIUM","","","Not Run",""
"CAMPAIGNS  (`/campaigns`)","T-83","Run a campaign","The campaign from T-82. needs: a number you can answer.","1. Start it.","The numbers are dialled, answered calls follow the campaign's flow, and each attempt shows in the call log.","MEDIUM","","","Not Run",""
"CAMPAIGNS  (`/campaigns`)","T-84","Stop a campaign","A campaign running.","1. Stop it.","No further numbers are dialled.","MEDIUM","","","Not Run",""
"SERVICES  (`/services`)","T-85","Create a webhook","needs: a URL you can watch (any request-catching site).","1. Press New Service.
2. Choose webhook, paste the URL, pick when it should fire and which applications it covers.
3. Save.","It is listed as enabled.","HIGH","","","Not Run",""
"SERVICES  (`/services`)","T-86","The webhook is delivered","The service from T-85. **Wait one minute after saving.**","1. Send it a test event with delivery turned on.
2. Look at your URL.
3. Open the service.","Your URL received the request, and the service's sent counter went up.","CRITICAL","","","Not Run","The screen reports that the event was *sent*, not that your endpoint accepted it — check your own endpoint and the counter. Changes take up to a minute to take effect; judging sooner makes a correct fix look broken."
"SERVICES  (`/services`)","T-87","A real call fires it","The service from T-85, set to fire at end of call.","1. Make and end a call on a covered application.
2. Look at your URL.","The request arrives for the real call, with that call's details.","HIGH","","","Not Run",""
"SERVICES  (`/services`)","T-88","A disabled service does not fire","The service from T-85.","1. Disable it.
2. Wait a minute.
3. Make a call.","Nothing is sent.","MEDIUM","","","Not Run",""
"SERVICES  (`/services`)","T-89","It only covers its own applications","Two applications.","1. Leave the service covering only application A.
2. Make a call on B, then on A.","Only the call on A is sent.","MEDIUM","","","Not Run",""
"SERVICES  (`/services`)","T-90","Screen pop / CRM","needs: a CRM account.","1. Set up the screen-pop service.
2. Take a call from a number known to the CRM.","The record opens for the agent.","MEDIUM","","","Not Run",""
"SERVICES  (`/services`)","T-91","Delete a service","The service from T-85.","1. Delete it.
2. Wait a minute and make a call.","It is gone from the list and nothing more is sent.","MEDIUM","","","Not Run",""
"SUBSCRIPTIONS, TARIFFS AND BILLING","T-92","Add a subscription","An application.","1. Press Add Subscription.
2. Pick the plan and dates.
3. Save.","It is listed against the application with its dates.","HIGH","","","Not Run",""
"SUBSCRIPTIONS, TARIFFS AND BILLING","T-93","Edit a subscription","The subscription from T-92.","1. Change it and save.
2. Reload.","The change is kept.","MEDIUM","","","Not Run",""
"SUBSCRIPTIONS, TARIFFS AND BILLING","T-94","Add balance","The subscription from T-92.","1. Press Add Balance and add an amount.","The balance goes up by that amount and a transaction is recorded.","HIGH","","","Not Run",""
"SUBSCRIPTIONS, TARIFFS AND BILLING","T-95","Calls use the balance","A subscription with a small balance. needs: a chargeable call.","1. Note the balance.
2. Make a chargeable call.
3. Reload.","The balance has gone down and the call is in Transactions with a cost.","CRITICAL","","","Not Run",""
"SUBSCRIPTIONS, TARIFFS AND BILLING","T-96","No balance, no call","A subscription with no balance.","1. Try a chargeable call.","The call is refused, and the reason is visible in Logs.","HIGH","","","Not Run",""
"SUBSCRIPTIONS, TARIFFS AND BILLING","T-97","End a subscription","The subscription from T-92.","1. Terminate it.
2. Try a chargeable call.","It shows as ended and chargeable calls stop working.","HIGH","","","Not Run",""
"SUBSCRIPTIONS, TARIFFS AND BILLING","T-98","Create a tariff","You have full access.","1. Press Create Tariff.
2. Add rates for a few prefixes, including one long and one short.","The tariff is listed with its rates.","HIGH","","","Not Run",""
"SUBSCRIPTIONS, TARIFFS AND BILLING","T-99","What a number costs","The tariff from T-98, with rates for `1` and `1212`.","1. Ask the tariff for the rate for a +1 212 number.","The more specific rate (`1212`) is the one quoted, not `1`.","HIGH","","","Not Run",""
"SUBSCRIPTIONS, TARIFFS AND BILLING","T-100","A disabled rate is not used","The tariff from T-98.","1. Disable one rate.
2. Ask for a number it covered.","That rate is no longer quoted.","MEDIUM","","","Not Run",""
"SUBSCRIPTIONS, TARIFFS AND BILLING","T-101","Create a plan","A tariff.","1. Create a plan and put the tariff on it.
2. Save.","It can be picked when adding a subscription.","MEDIUM","","","Not Run",""
"SUBSCRIPTIONS, TARIFFS AND BILLING","T-102","Transactions add up","A few charged calls.","1. Open Transactions and compare with the call log for the same period.","The charges match the calls; nothing is missing or doubled.","MEDIUM","","","Not Run",""
"AUTOMATION — workflows, bots, schemas, templates","T-103","Create a workflow","You have full access.","1. Press New Workflow.
2. Build a small flow and save.","It is listed and can be reopened exactly as saved.","MEDIUM","","","Not Run",""
"AUTOMATION — workflows, bots, schemas, templates","T-104","A workflow runs on a call","The workflow from T-103, attached to a call flow.","1. Make a call that triggers it.
2. Open Events for that call.","The workflow's steps are recorded against the call.","MEDIUM","","","Not Run",""
"AUTOMATION — workflows, bots, schemas, templates","T-105","Create a bot","needs: an AI provider configured.","1. Press Create Bot.
2. Give it instructions and save.","It is listed.","MEDIUM","","","Not Run",""
"AUTOMATION — workflows, bots, schemas, templates","T-106","A bot answers a call","The bot from T-105, pointed at a number.","1. Call the number.
2. Speak to it.","It answers, responds sensibly, and the call is in the call log.","MEDIUM","","","Not Run",""
"AUTOMATION — workflows, bots, schemas, templates","T-107","Create a schema","You have full access.","1. Press New Schema.
2. Define it and save.","It is listed and reopens as saved.","LOW","","","Not Run",""
"AUTOMATION — workflows, bots, schemas, templates","T-108","Create a template","You have full access.","1. Create a template and save.
2. Use it somewhere it is offered.","It is offered and applies what it defines.","LOW","","","Not Run",""
"AUTOMATION — workflows, bots, schemas, templates","T-109","Ask the assistant","AI configured.","1. Open the assistant and ask about your own data (for example how many calls today).","The answer matches what the screens show.","LOW","","","Not Run",""
"DASHBOARD AND LIVE  (`/`, `/live`)","T-110","Dashboard figures","Some calls today.","1. Open the dashboard.
2. Compare with the call log for the same period.","The totals agree with the call log.","CRITICAL","","","Not Run",""
"DASHBOARD AND LIVE  (`/`, `/live`)","T-111","Live updates while a call runs","A registered device.","1. Open the live screen.
2. Make a call and hang up.","The call appears while it runs and the counts go back down after it ends, without reloading.","CRITICAL","","","Not Run",""
"DASHBOARD AND LIVE  (`/`, `/live`)","T-112","Registered devices are counted","Two registered devices.","1. Watch the live screen.
2. Unregister one.","The registered count falls by one.","MEDIUM","","","Not Run",""
"DASHBOARD AND LIVE  (`/`, `/live`)","T-113","An empty period reads as empty","A quiet period.","1. Open the charts for a period with no calls.","It says there is nothing, rather than showing an error or a blank box.","MEDIUM","","","Not Run",""
"MONITORING, HEALTH, LOGS AND EVENTS","T-114","System health","You are signed in.","1. Open the health screen.","Every check is listed and the essential ones are green.","CRITICAL","","","Not Run",""
"MONITORING, HEALTH, LOGS AND EVENTS","T-115","A stopped service shows red","needs: a service you can stop.","1. Stop it.
2. Reload health.","It goes red and names what is wrong.","HIGH","","","Not Run",""
"MONITORING, HEALTH, LOGS AND EVENTS","T-116","Monitoring charts","Some traffic.","1. Open Monitoring and pick a period.","Charts draw for that period and the periods agree with each other.","MEDIUM","","","Not Run",""
"MONITORING, HEALTH, LOGS AND EVENTS","T-117","Alert thresholds","You have full access.","1. Set a threshold low enough to trip.
2. Cause the condition.","An alert is raised and shown.","MEDIUM","","","Not Run",""
"MONITORING, HEALTH, LOGS AND EVENTS","T-118","Recent activity in Logs","Anything done in the last few minutes.","1. Open Logs.","Recent lines are there, newest first, with times that make sense.","HIGH","","","Not Run",""
"MONITORING, HEALTH, LOGS AND EVENTS","T-119","Find a line","A call you just made.","1. Search Logs for its number or reference.","The lines for that call are found.","HIGH","","","Not Run",""
"MONITORING, HEALTH, LOGS AND EVENTS","T-120","Filter by app and severity","Some traffic.","1. Filter to errors only, then to one app.","Only matching lines are listed.","MEDIUM","","","Not Run",""
"MONITORING, HEALTH, LOGS AND EVENTS","T-121","A record's own history","Any device or number.","1. Open it and press View Logs.","You see that record's lines and nothing unrelated.","MEDIUM","","","Not Run",""
"MONITORING, HEALTH, LOGS AND EVENTS","T-122","A refused call is explained","needs: a number that is not configured.","1. Call it.
2. Open Logs.","One line explains why the call was refused.","MEDIUM","","","Not Run",""
"MONITORING, HEALTH, LOGS AND EVENTS","T-123","Events for a call","A finished call.","1. Open Events and find it.","Its events are listed in order — ringing, answer, hangup.","MEDIUM","","","Not Run",""
"MONITORING, HEALTH, LOGS AND EVENTS","T-124","One customer's logs only","needs: a second customer.","1. Sign in as customer A.
2. Search Logs for something of customer B's.","Nothing of customer B's is returned.","CRITICAL","","","Not Run",""
"REPORTS AND NOTIFICATIONS","T-125","Run a report","Some calls in the period.","1. Open Reports, pick a period, run one.","The figures agree with the call log for that period.","HIGH","","","Not Run",""
"REPORTS AND NOTIFICATIONS","T-126","Export a report","The report from T-125.","1. Export it.","The file downloads and has the same rows as the screen.","MEDIUM","","","Not Run",""
"REPORTS AND NOTIFICATIONS","T-127","Notifications","Something that raises one.","1. Open Notifications.
2. Mark one as read.","It is listed, and it stays read after a reload.","LOW","","","Not Run",""
"THE WHOLE WAY THROUGH — run this last","T-130","A new customer, end to end","You are signed in with full access. needs: two softphones and a number.","1. Create an application.
2. Create two users on it.
3. Register both softphones.
4. Add a number and point it at one of them.
5. Call between the two devices.
6. Call the number from outside.
7. Open the call log, the dashboard and Transactions.","Every step works without a developer touching anything, and the calls you made are the calls the log, the dashboard and the charges show.","CRITICAL","","","Not Run","If this row passes, the release is usable. If it fails, the release is not, whatever else passed."
